USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
GA	13197	00344107	Marion County	947978204	3791374	     366.016	       1.464	 32.359538	 -84.529561                                                                                                      
GA	13199	00346892	Meriwether County	1298160991	10834086	     501.223	       4.183	 33.029244	 -84.667041                                                                                                
GA	13201	00344088	Miller County	731466841	3216290	     282.421	       1.242	 31.162908	 -84.730386                                                                                                      
GA	13205	00343645	Mitchell County	1326293152	4504150	     512.085	       1.739	 31.228997	 -84.192038                                                                                                   
GA	13207	00343073	Monroe County	1025912893	5603382	     396.107	       2.163	 33.017435	 -83.922938                                                                                                     
GA	13209	00352276	Montgomery County	620370693	13383014	     239.526	       5.167	 32.172108	 -82.533349                                                                                                 
GA	13211	00346008	Morgan County	899647678	18815669	     347.356	       7.265	 33.593236	 -83.491027                                                                                                     
GA	13213	01688005	Murray County	892278138	5719645	     344.511	       2.208	 34.797097	 -84.737990                                                                                                      
GA	13215	00357428	Muscogee County	560530243	11873622	     216.422	       4.584	 32.510197	 -84.874946                                                                                                   
GA	13217	01673547	Newton County	704988503	18130753	     272.198	       7.000	 33.544021	 -83.855185                                                                                                     
GA	13219	00356774	Oconee County	477395751	5305707	     184.324	       2.049	 33.834125	 -83.437728                                                                                                      
GA	13221	00351262	Oglethorpe County	1137034040	7839366	     439.011	       3.027	 33.866806	 -83.074081                                                                                                 
GA	13223	00349912	Paulding County	808832044	5309331	     312.292	       2.050	 33.921026	 -84.867162                                                                                                    
GA	13225	00343153	Peach County	389190275	2676569	     150.267	       1.033	 32.571324	 -83.831978                                                                                                       
GA	13227	01673011	Pickens County	601027938	1693768	     232.058	       0.654	 34.456813	 -84.490339                                                                                                     
GA	13229	00349086	Pierce County	881051116	7910038	     340.176	       3.054	 31.353988	 -82.210427                                                                                                      
GA	13231	00346482	Pike County	559659551	8596853	     216.086	       3.319	 33.090768	 -84.386627                                                                                                        
GA	13233	00343585	Polk County	803772833	4667496	     310.338	       1.802	 33.996015	 -85.188338                                                                                                        
GA	13235	00347593	Pulaski County	645061948	5560186	     249.060	       2.147	 32.238794	 -83.481855                                                                                                     
GA	13237	00347246	Putnam County	892634162	41539480	     344.648	      16.038	 33.321060	 -83.371790                                                                                                     
GA	13239	00350547	Quitman County	391703078	24158294	     151.237	       9.328	 31.862948	 -85.004801                                                                                                    
GA	13241	00351489	Rabun County	958280735	17841177	     369.994	       6.889	 34.883949	 -83.404859                                                                                                      
GA	13243	00352242	Randolph County	1109126239	6830041	     428.236	       2.637	 31.762651	 -84.752311                                                                                                   
GA	13245	00358024	Richmond County	840008393	11042219	     324.329	       4.263	 33.361487	 -82.074998                                                                                                   
GA	13247	00357592	Rockdale County	336205278	5926396	     129.810	       2.288	 33.652081	 -84.026370                                                                                                    
GA	13249	00344129	Schley County	432284457	2376387	     166.906	       0.918	 32.263441	 -84.322724                                                                                                      
GA	13251	00350204	Screven County	1670803486	27888992	     645.101	      10.768	 32.744751	 -81.617585                                                                                                   
GA	13253	00351263	Seminole County	609245340	55231605	     235.231	      21.325	 30.933894	 -84.867592                                                                                                   
GA	13255	00353055	Spalding County	507333988	9602978	     195.883	       3.708	 33.262389	 -84.286067                                                                                                    
GA	13257	00350028	Stephens County	463948062	13121983	     179.131	       5.066	 34.552914	 -83.290216                                                                                                   
GA	13259	00347360	Stewart County	1188153047	12599265	     458.748	       4.865	 32.073225	 -84.834912                                                                                                   
GA	13261	00343504	Sumter County	1250175714	25791716	     482.696	       9.958	 32.042198	 -84.204260                                                                                                    
GA	13263	00326757	Talbot County	1013691982	8737088	     391.389	       3.373	 32.704603	 -84.530029                                                                                                     
GA	13265	00347654	Taliaferro County	504031039	1915743	     194.607	       0.740	 33.559319	 -82.875272                                                                                                  
GA	13267	00347445	Tattnall County	1241953433	22864021	     479.521	       8.828	 32.043768	 -82.059208                                                                                                  
GA	13269	00344156	Taylor County	975611442	7803733	     376.686	       3.013	 32.554667	 -84.251426                                                                                                      
GA	13271	00356958	Telfair County	1132610582	17366926	     437.303	       6.705	 31.913639	 -82.931062                                                                                                   
GA	13273	00352238	Terrell County	868785319	5861795	     335.440	       2.263	 31.777191	 -84.439446                                                                                                     
GA	13275	00343835	Thomas County	1410510137	19728196	     544.601	       7.617	 30.864606	 -83.919820                                                                                                    
GA	13277	00344090	Tift County	675661214	20499404	     260.874	       7.915	 31.457003	 -83.525931                                                                                                       
GA	13279	00345220	Toombs County	942770570	18093855	     364.006	       6.986	 32.126698	 -82.332071                                                                                                     
GA	13281	00351252	Towns County	431395520	14037933	     166.563	       5.420	 34.902529	 -83.732264                                                                                                      
GA	13283	00347505	Treutlen County	516536217	7805621	     199.436	       3.014	 32.409586	 -82.570882                                                                                                    
GA	13285	01673298	Troup County	1072232618	82803338	     413.991	      31.971	 33.034482	 -85.028360                                                                                                     
GA	13287	00343238	Turner County	739164629	11881239	     285.393	       4.587	 31.724800	 -83.620319                                                                                                     
GA	13289	00345456	Twiggs County	928284540	10933791	     358.413	       4.222	 32.665847	 -83.425879                                                                                                     
GA	13291	00353193	Union County	833844747	18273554	     321.949	       7.055	 34.833333	 -83.989257                                                                                                      
GA	13293	00346759	Upson County	837696991	10663279	     323.437	       4.117	 32.881837	 -84.292281                                                                                                      
GA	13295	00354216	Walker County	1156146017	1672676	     446.390	       0.646	 34.735827	 -85.305385                                                                                                     
GA	13297	00351264	Walton County	843525615	11170130	     325.687	       4.313	 33.783887	 -83.731829                                                                                                     
GA	13299	00357722	Ware County	2312574726	39103677	     892.890	      15.098	 31.050881	 -82.421507                                                                                                      
GA	13301	00347777	Warren County	736332037	6186048	     284.299	       2.388	 33.419169	 -82.688012                                                                                                      
GA	13303	00348428	Washington County	1757188472	15284511	     678.454	       5.901	 32.971848	 -82.798112                                                                                                
GA	13305	00350608	Wayne County	1662237980	18136147	     641.794	       7.002	 31.547845	 -81.912376                                                                                                     
GA	13307	00352287	Webster County	541613277	2965865	     209.118	       1.145	 32.046691	 -84.553828                                                                                                     
GA	13309	00351278	Wheeler County	765301200	12390212	     295.484	       4.784	 32.105268	 -82.733865                                                                                                    
GA	13311	00326781	White County	623402120	3912787	     240.697	       1.511	 34.643776	 -83.743417                                                                                                       
GA	13313	00353513	Whitfield County	752293531	1533754	     290.462	       0.592	 34.801726	 -84.968541                                                                                                   
GA	13315	00345499	Wilcox County	978250127	11444179	     377.705	       4.419	 31.962717	 -83.438262                                                                                                     
GA	13317	00351265	Wilkes County	1215973896	11924769	     469.490	       4.604	 33.779031	 -82.747921                                                                                                    
GA	13319	00346824	Wilkinson County	1158541304	12003359	     447.315	       4.635	 32.804266	 -83.175512                                                                                                 
GA	13321	00343365	Worth County	1478123915	10485470	     570.707	       4.048	 31.551773	 -83.849960                                                                                                     
HI	15001	00365280	Hawaii County	10433651107	2739477691	    4028.455	    1057.718	 19.597764	-155.502443                                                                                                 
HI	15003	00365281	Honolulu County	1555505156	4054940027	     600.584	    1565.621	 21.461365	-158.201974                                                                                                
HI	15005	01702380	Kalawao County	31057602	105769486	      11.991	      40.838	 21.218764	-156.974010                                                                                                    
HI	15007	00365282	Kauai County	1605560469	1674243566	     619.910	     646.429	 22.012038	-159.705965                                                                                                   
HI	15009	00365283	Maui County	3008359138	3203293646	    1161.534	    1236.799	 20.855931	-156.601550                                                                                                    
ID	16001	00395066	Ada County	2726291052	20291587	    1052.627	       7.835	 43.451477	-116.244376                                                                                                       
ID	16003	00395067	Adams County	3530315271	17384865	    1363.062	       6.712	 44.877004	-116.461624                                                                                                     
ID	16005	00395091	Bannock County	2880037048	91799953	    1111.989	      35.444	 42.692921	-112.228982                                                                                                   
ID	16007	00395090	Bear Lake County	2524917724	193276295	     974.876	      74.624	 42.285892	-111.327517                                                                                                
ID	16009	00395190	Benewah County	2011429525	18987952	     776.617	       7.331	 47.218451	-116.633541                                                                                                   
ID	16011	00400593	Bingham County	5423127704	68447504	    2093.881	      26.428	 43.216357	-112.399206                                                                                                   
ID	16013	00395696	Blaine County	6837372799	44347641	    2639.925	      17.123	 43.394192	-113.955371                                                                                                    
ID	16015	00395157	Boise County	4919005836	19293635	    1899.239	       7.449	 43.987275	-115.715110                                                                                                     
ID	16017	00395158	Bonner County	4494094339	478953307	    1735.180	     184.925	 48.324629	-116.627430                                                                                                   
ID	16019	00395407	Bonneville County	4833106288	89505250	    1866.073	      34.558	 43.395171	-111.621878                                                                                                
ID	16021	00395159	Boundary County	3285786073	24097890	    1268.649	       9.304	 48.773133	-116.524673                                                                                                  
ID	16023	00401703	Butte County	5791731101	5258025	    2236.200	       2.030	 43.685101	-113.177631                                                                                                      
ID	16025	00399408	Camas County	2782922931	11535218	    1074.493	       4.454	 43.463396	-114.804427                                                                                                     
ID	16027	00399406	Canyon County	1521269418	41912557	     587.365	      16.183	 43.623051	-116.708527                                                                                                    
ID	16029	00395406	Caribou County	4568789280	89170385	    1764.019	      34.429	 42.786072	-111.544273                                                                                                   
ID	16031	00395698	Cassia County	6642382760	39370054	    2564.638	      15.201	 42.282313	-113.626328                                                                                                    
ID	16033	00399755	Clark County	4567262180	2476454	    1763.430	       0.956	 44.290218	-112.354613                                                                                                      
ID	16035	00395697	Clearwater County	6364125459	79537930	    2457.203	      30.710	 46.672570	-115.653500                                                                                                
ID	16037	00399758	Custer County	12743076925	42380283	    4920.130	      16.363	 44.273351	-114.252267                                                                                                   
ID	16039	00400252	Elmore County	7963532452	67386793	    3074.737	      26.018	 43.394698	-115.471205                                                                                                    
ID	16041	00395585	Franklin County	1718705847	12165111	     663.596	       4.697	 42.173609	-111.822965                                                                                                  
ID	16043	00395408	Fremont County	4827127231	83291789	    1863.764	      32.159	 44.218091	-111.484429                                                                                                   
ID	16045	00395442	Gem County	1452712966	12443645	     560.896	       4.805	 44.061473	-116.398784                                                                                                       
ID	16047	00395441	Gooding County	1888032003	12289363	     728.973	       4.745	 42.973185	-114.821420                                                                                                   
ID	16049	00395699	Idaho County	21955991187	67312413	    8477.256	      25.989	 45.849644	-115.467337                                                                                                    
ID	16051	00399751	Jefferson County	2832172395	31262706	    1093.508	      12.071	 43.796965	-112.318588                                                                                                 
ID	16053	00395662	Jerome County	1546717189	12848163	     597.191	       4.961	 42.691395	-114.262086                                                                                                    
ID	16055	00395661	Kootenai County	3222281604	185181742	    1244.130	      71.499	 47.677113	-116.694918                                                                                                 
ID	16057	00395613	Latah County	2786818332	2370271	    1075.997	       0.915	 46.818920	-116.730974                                                                                                      
ID	16059	00399754	Lemhi County	11818873960	13954037	    4563.293	       5.388	 44.928506	-113.887042                                                                                                    
ID	16061	00395622	Lewis County	1240073701	2444525	     478.795	       0.944	 46.236328	-116.423760                                                                                                      
ID	16063	00395624	Lincoln County	3111594425	11607021	    1201.393	       4.481	 42.986181	-114.153899                                                                                                   
ID	16065	00394803	Madison County	1215286572	10389484	     469.225	       4.011	 43.788614	-111.656993                                                                                                   
ID	16067	00394807	Minidoka County	1962152579	13820849	     757.591	       5.336	 42.857211	-113.639840                                                                                                  
ID	16069	00399394	Nez Perce County	2196548061	21212964	     848.092	       8.190	 46.333791	-116.760909                                                                                                 
ID	16071	00399759	Oneida County	3107437565	3995238	    1199.788	       1.543	 42.183895	-112.520449                                                                                                     
ID	16073	00399760	Owyhee County	19853654513	81456108	    7665.539	      31.450	 42.572851	-116.189690                                                                                                   
ID	16075	00394896	Payette County	1053779632	8827431	     406.867	       3.408	 44.002430	-116.750238                                                                                                    
ID	16077	00394951	Power County	3637036616	99453168	    1404.268	      38.399	 42.694126	-112.844407                                                                                                     
ID	16079	01702379	Shoshone County	6811078681	14130785	    2629.772	       5.456	 47.347694	-115.885092                                                                                                  
ID	16081	00399297	Teton County	1164084061	2860443	     449.455	       1.104	 43.760994	-111.211765                                                                                                      
ID	16083	00399334	Twin Falls County	4975933315	18401638	    1921.219	       7.105	 42.352309	-114.665639                                                                                                
ID	16085	00399756	Valley County	9491065306	177274388	    3664.521	      68.446	 44.771488	-115.637953                                                                                                   
ID	16087	00399757	Washington County	3763097346	53213033	    1452.940	      20.546	 44.448223	-116.797792                                                                                                
IL	17001	00424202	Adams County	2214972286	41784365	     855.206	      16.133	 39.986052	 -91.194961                                                                                                     
IL	17003	00424203	Alexander County	609996942	44237191	     235.521	      17.080	 37.183657	 -89.349516                                                                                                  
IL	17005	00424204	Bond County	984918652	6426353	     380.279	       2.481	 38.885924	 -89.436592                                                                                                        
IL	17007	00424205	Boone County	727101583	3339043	     280.736	       1.289	 42.318983	 -88.824295                                                                                                       
IL	17009	00424206	Brown County	791518279	4139308	     305.607	       1.598	 39.962069	 -90.750309                                                                                                       
IL	17011	00424207	Bureau County	2250785992	11578416	     869.033	       4.470	 41.401304	 -89.528377                                                                                                    
IL	17013	00424208	Calhoun County	657402916	77057164	     253.825	      29.752	 39.164262	 -90.666295                                                                                                    
IL	17015	00424209	Carroll County	1152707885	55841451	     445.063	      21.561	 42.070900	 -89.924189                                                                                                   
IL	17017	00424210	Cass County	973345804	20581547	     375.811	       7.947	 39.969202	 -90.245704                                                                                                       
IL	17019	00424211	Champaign County	2580293767	5531832	     996.257	       2.136	 40.138980	 -88.196996                                                                                                  
IL	17021	00424212	Christian County	1837278859	16221514	     709.377	       6.263	 39.545524	 -89.279593                                                                                                 
IL	17023	00424213	Clark County	1298666607	8806917	     501.418	       3.400	 39.332364	 -87.791687                                                                                                      
IL	17025	00424214	Clay County	1212958829	3278251	     468.326	       1.266	 38.746832	 -88.482344                                                                                                       
IL	17027	00424215	Clinton County	1227874119	75592335	     474.085	      29.186	 38.606295	 -89.426228                                                                                                   
IL	17029	00424216	Coles County	1316459190	4631834	     508.288	       1.788	 39.513680	 -88.220782                                                                                                      
IL	17031	01784766	Cook County	2448400204	1785626819	     945.333	     689.434	 41.894294	 -87.645455                                                                                                    
IL	17033	00424218	Crawford County	1148997685	5667188	     443.631	       2.188	 39.002769	 -87.760621                                                                                                   
IL	17035	00424219	Cumberland County	896203114	2531272	     346.026	       0.977	 39.273121	 -88.240619                                                                                                  
IL	17037	00422190	DeKalb County	1635193208	8568342	     631.352	       3.308	 41.894612	 -88.768991                                                                                                     
IL	17039	00426598	De Witt County	1029643577	19519851	     397.548	       7.537	 40.181499	 -88.901853                                                                                                   
IL	17041	00424222	Douglas County	1079156612	1448702	     416.665	       0.559	 39.766078	 -88.222866                                                                                                    
IL	17043	00422191	DuPage County	848258564	22857568	     327.514	       8.825	 41.852058	 -88.086038                                                                                                     
IL	17045	00424224	Edgar County	1614531795	1610634	     623.374	       0.622	 39.679037	 -87.747110                                                                                                      
IL	17047	00424225	Edwards County	576061731	781203	     222.419	       0.302	 38.417095	 -88.047941                                                                                                      
IL	17049	00424226	Effingham County	1240027660	3183217	     478.777	       1.229	 39.047945	 -88.592849                                                                                                  
IL	17051	00424227	Fayette County	1855687602	22942188	     716.485	       8.858	 39.001125	 -89.017923                                                                                                   
IL	17053	00424228	Ford County	1257719717	1640286	     485.608	       0.633	 40.596539	 -88.224588                                                                                                       
IL	17055	00424229	Franklin County	1059021102	58413469	     408.890	      22.554	 37.991848	 -88.926246                                                                                                  
IL	17057	00424230	Fulton County	2241880791	43973316	     865.595	      16.978	 40.465240	 -90.202269                                                                                                    
IL	17059	00424231	Gallatin County	836749960	13238356	     323.071	       5.111	 37.768677	 -88.227964                                                                                                   
IL	17061	00424232	Greene County	1406413313	8425393	     543.019	       3.253	 39.355444	 -90.387757                                                                                                     
IL	17063	00424233	Grundy County	1082749559	32106092	     418.052	      12.396	 41.292410	 -88.401054                                                                                                    
IL	17065	00424234	Hamilton County	1125778616	3174312	     434.666	       1.226	 38.085226	 -88.539005                                                                                                   
IL	17067	00424235	Hancock County	2055740567	53535827	     793.726	      20.670	 40.405792	 -91.167987                                                                                                   
IL	17069	00424236	Hardin County	459795959	10489596	     177.528	       4.050	 37.517852	 -88.266148                                                                                                     
IL	17071	00424237	Henderson County	981273714	42340542	     378.872	      16.348	 40.814471	 -90.941246                                                                                                  
IL	17073	00424238	Henry County	2131552058	6862245	     822.997	       2.650	 41.350021	 -90.130838                                                                                                      
IL	17075	00424239	Iroquois County	2893771415	4235076	    1117.291	       1.635	 40.748867	 -87.833601                                                                                                   
IL	17077	00424240	Jackson County	1512739085	47416201	     584.072	      18.307	 37.786096	 -89.381212                                                                                                   
IL	17079	00424241	Jasper County	1280788077	9334509	     494.515	       3.604	 39.004874	 -88.150763                                                                                                     
IL	17081	00424242	Jefferson County	1479284991	32709408	     571.155	      12.629	 38.300780	 -88.924210                                                                                                 
IL	17083	00424243	Jersey County	956433111	20324168	     369.281	       7.847	 39.080192	 -90.361365                                                                                                     
IL	17085	00424244	Jo Daviess County	1556339199	45776828	     600.906	      17.675	 42.362391	 -90.211470                                                                                                
IL	17087	00424245	Johnson County	890741065	12811451	     343.917	       4.947	 37.460709	 -88.882131                                                                                                    
IL	17089	00424246	Kane County	1347216444	10775726	     520.163	       4.161	 41.939594	 -88.428040                                                                                                      
IL	17091	00424247	Kankakee County	1752310524	12413735	     676.571	       4.793	 41.139510	 -87.861117                                                                                                  
IL	17093	00424248	Kendall County	829537625	5118525	     320.286	       1.976	 41.588140	 -88.430626                                                                                                     
IL	17095	00424249	Knox County	1855506549	8834348	     716.415	       3.411	 40.930941	 -90.213761                                                                                                       
IL	17097	01784796	Lake County	1149077255	2395036797	     443.661	     924.729	 42.326444	 -87.436118                                                                                                    
IL	17099	00422247	LaSalle County	2939990010	33693280	    1135.137	      13.009	 41.343341	 -88.885931                                                                                                   
IL	17101	00424252	Lawrence County	963936881	5077778	     372.178	       1.961	 38.718954	 -87.730221                                                                                                    
IL	17103	00424253	Lee County	1877371243	10599322	     724.857	       4.092	 41.747442	 -89.299351                                                                                                       
IL	17105	00424254	Livingston County	2704687496	4252884	    1044.286	       1.642	 40.894376	 -88.552852                                                                                                 
IL	17107	00424255	Logan County	1600758860	2252736	     618.056	       0.870	 40.129122	 -89.365307                                                                                                      
IL	17109	01784729	McDonough County	1526558088	2012555	     589.407	       0.777	 40.455808	 -90.678954                                                                                                  
IL	17111	01784815	McHenry County	1562336303	19832927	     603.221	       7.658	 42.324298	 -88.452245                                                                                                   
IL	17113	01784833	McLean County	3064861155	7562638	    1183.350	       2.920	 40.494559	 -88.844539                                                                                                     
IL	17115	00424256	Macon County	1503973502	13409564	     580.687	       5.177	 39.860237	 -88.961529                                                                                                     
IL	17117	00424257	Macoupin County	2234952632	12252649	     862.920	       4.731	 39.265900	 -89.926344                                                                                                  
IL	17119	00424258	Madison County	1853742057	64302909	     715.734	      24.827	 38.827082	 -89.900195                                                                                                   
IL	17121	00424259	Marion County	1482442356	9487928	     572.374	       3.663	 38.648106	 -88.920488                                                                                                     
IL	17123	00424260	Marshall County	1001787871	30368315	     386.792	      11.725	 41.031119	 -89.342371                                                                                                  
IL	17125	00424261	Mason County	1396619096	62745252	     539.238	      24.226	 40.236993	 -89.913575                                                                                                     
IL	17127	01784730	Massac County	614390802	11904133	     237.218	       4.596	 37.216119	 -88.705658                                                                                                     
IL	17129	00424266	Menard County	814389207	2641080	     314.437	       1.020	 40.022569	 -89.794133                                                                                                      
IL	17131	01784750	Mercer County	1453500382	19409929	     561.200	       7.494	 41.204791	 -90.741433                                                                                                    
IL	17133	01784865	Monroe County	997188935	33718659	     385.017	      13.019	 38.277983	 -90.179078                                                                                                     
IL	17135	01784866	Montgomery County	1822539613	15512963	     703.687	       5.990	 39.228093	 -89.478004                                                                                                
IL	17137	00424270	Morgan County	1473194865	9064992	     568.804	       3.500	 39.718300	 -90.202543                                                                                                     
IL	17139	01784885	Moultrie County	870088914	22102476	     335.943	       8.534	 39.636896	 -88.625726                                                                                                   
IL	17141	01784894	Ogle County	1964706942	11425029	     758.578	       4.411	 42.041884	 -89.320176                                                                                                      
IL	17143	01784920	Peoria County	1603693530	29505061	     619.190	      11.392	 40.785995	 -89.767106                                                                                                    
IL	17145	01784940	Perry County	1144186123	13416186	     441.773	       5.180	 38.084381	 -89.368525                                                                                                     
IL	17147	00424275	Piatt County	1137445095	756346	     439.170	       0.292	 40.009056	 -88.592328                                                                                                       
IL	17149	01784941	Pike County	2153317670	45283711	     831.401	      17.484	 39.625106	 -90.889034                                                                                                      
IL	17151	00424277	Pope County	955109670	14328523	     368.770	       5.532	 37.417169	 -88.542374                                                                                                       
IL	17153	01784966	Pulaski County	515887464	10473563	     199.185	       4.044	 37.215615	 -89.127755                                                                                                    
IL	17155	00424279	Putnam County	414813859	31243032	     160.161	      12.063	 41.198961	 -89.298347                                                                                                     
IL	17157	01784967	Randolph County	1490546072	56207428	     575.503	      21.702	 38.056515	 -89.821210                                                                                                  
IL	17159	00424281	Richland County	932423425	4884901	     360.011	       1.886	 38.711550	 -88.085698                                                                                                    
IL	17161	00424282	Rock Island County	1107115474	61715046	     427.460	      23.828	 41.468404	 -90.572203                                                                                               
IL	17163	01784987	St. Clair County	1703650703	42081592	     657.783	      16.248	 38.470198	 -89.928546                                                                                                 
IL	17165	00424283	Saline County	983746631	18008533	     379.827	       6.953	 37.751653	 -88.545031                                                                                                     
IL	17167	01785010	Sangamon County	2248891494	22577723	     868.302	       8.717	 39.757258	 -89.662032                                                                                                  
IL	17169	01785037	Schuyler County	1132531697	10511619	     437.273	       4.059	 40.156905	 -90.613464                                                                                                  
IL	17171	00424286	Scott County	649861236	4812706	     250.913	       1.858	 39.637002	 -90.477771                                                                                                       
IL	17173	01785051	Shelby County	1964598132	24693146	     758.536	       9.534	 39.384926	 -88.798862                                                                                                    
IL	17175	00424288	Stark County	746121489	708705	     288.079	       0.274	 41.096908	 -89.797411                                                                                                        
IL	17177	01785076	Stephenson County	1462175613	1385929	     564.549	       0.535	 42.349726	 -89.665994                                                                                                 
IL	17179	01785094	Tazewell County	1681105118	22941954	     649.078	       8.858	 40.508074	 -89.516260                                                                                                  
IL	17181	01785113	Union County	1070855937	22502264	     413.460	       8.688	 37.485644	 -89.244638                                                                                                     
IL	17183	01785114	Vermilion County	2326763526	7534491	     898.368	       2.909	 40.186754	 -87.726778                                                                                                  
IL	17185	00424293	Wabash County	578224627	11012015	     223.254	       4.252	 38.445821	 -87.839167                                                                                                     
IL	17187	01785134	Warren County	1404823489	1674135	     542.405	       0.646	 40.850441	 -90.620223                                                                                                     
IL	17189	01785150	Washington County	1457058111	3454759	     562.573	       1.334	 38.353140	 -89.417187                                                                                                 
IL	17191	00424296	Wayne County	1848769742	4331009	     713.814	       1.672	 38.431857	 -88.432430                                                                                                      
IL	17193	00424297	White County	1281439561	18374883	     494.767	       7.095	 38.087372	 -88.178585                                                                                                     
IL	17195	01785167	Whiteside County	1772198883	31796423	     684.250	      12.277	 41.750571	 -89.910957                                                                                                 
IL	17197	01785190	Will County	2167652507	31840804	     836.935	      12.294	 41.448474	 -87.978456                                                                                                      
IL	17199	01785215	Williamson County	1088235237	62630460	     420.170	      24.182	 37.730353	 -88.930018                                                                                                
IL	17201	01785216	Winnebago County	1329745720	15107861	     513.418	       5.833	 42.337396	 -89.161205                                                                                                 
IL	17203	01785231	Woodford County	1367025008	38410923	     527.811	      14.831	 40.789789	 -89.210607                                                                                                  
IN	18001	00450401	Adams County	878078799	2430642	     339.028	       0.938	 40.745733	 -84.936130                                                                                                       
IN	18003	00450402	Allen County	1702454352	6999604	     657.321	       2.703	 41.091855	 -85.072230                                                                                                      
IN	18005	00451683	Bartholomew County	1053850604	6814131	     406.894	       2.631	 39.205843	 -85.897999                                                                                                
IN	18007	00450403	Benton County	1052616452	236033	     406.418	       0.091	 40.600945	 -87.314846                                                                                                      
IN	18009	00450404	Blackford County	427554635	1303566	     165.080	       0.503	 40.472672	 -85.323730                                                                                                   
IN	18011	00450405	Boone County	1095336144	877936	     422.912	       0.339	 40.050892	 -86.469014                                                                                                       
IN	18013	00451684	Brown County	808029632	12040223	     311.982	       4.649	 39.192864	 -86.239728                                                                                                      
IN	18015	00450406	Carroll County	964066247	7227489	     372.228	       2.791	 40.584980	 -86.565141                                                                                                     
IN	18017	00450339	Cass County	1067475955	6974424	     412.155	       2.693	 40.753799	 -86.355168                                                                                                       
IN	18019	00450340	Clark County	965626431	9244302	     372.830	       3.569	 38.476217	 -85.711122                                                                                                       
IN	18021	00450341	Clay County	926094203	7133798	     357.567	       2.754	 39.393951	 -87.115837                                                                                                        
